,INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
8416,2013-001C,39059,PAYLOAD,COSMOS 2484,CIS,2013-01-15,PKMTR,,115.86,82.51,1514,1474,,,0,LARGE,9059,2013,1,C,Y,COSMOS 2484,2013-001C,39059
8417,2013-005D,39075,PAYLOAD,GLOBALSTAR M096,GLOB,2013-02-06,TTMTR,,114.08,52.01,1414,1413,,,0,LARGE,9059,2013,5,D,Y,GLOBALSTAR M096,2013-005D,39075
8418,2013-008A,39084,PAYLOAD,LANDSAT 8,US,2013-02-11,AFWTR,,98.83,98.20,703,702,,,0,LARGE,9059,2013,8,A,Y,LANDSAT 8,2013-008A,39084
8419,2013-009A,39086,PAYLOAD,SARAL,IND,2013-02-25,SRI,,100.51,98.55,784,782,,,0,LARGE,9059,2013,9,A,Y,SARAL,2013-009A,39086
8420,2013-009D,39089,PAYLOAD,NEOSSAT,CA,2013-02-25,SRI,,100.31,98.41,781,766,,,0,MEDIUM,9059,2013,9,D,Y,NEOSSAT,2013-009D,39089
8421,2013-009G,39092,PAYLOAD,BRITE-U UNIBRITE,ASRA,2013-02-25,SRI,,100.27,98.39,778,765,,,0,MEDIUM,9059,2013,9,G,Y,BRITE-U UNIBRITE,2013-009G,39092
8422,2013-009H,39093,ROCKET BODY,PSLV R/B,IND,2013-02-25,SRI,,99.43,98.10,763,699,,,0,LARGE,9059,2013,9,H,Y,PSLV R/B,2013-009H,39093
8423,1993-036BTY,39109,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,98.09,74.05,712,622,,,0,SMALL,9059,1993,36,BTY,Y,COSMOS 2251 DEB,1993-036BTY,39109
8424,1993-036BTZ,39110,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,97.93,73.96,730,590,,,0,SMALL,9059,1993,36,BTZ,Y,COSMOS 2251 DEB,1993-036BTZ,39110
8425,2013-018E,39154,ROCKET BODY,CZ-2D R/B,PRC,2013-04-26,JSC,,97.30,98.37,643,616,,,0,LARGE,9059,2013,18,E,Y,CZ-2D R/B,2013-018E,39154
8426,2013-021C,39161,PAYLOAD,ESTCUBE 1,EST,2013-05-07,FRGUI,,97.36,97.79,639,625,,,0,SMALL,9059,2013,21,C,Y,ESTCUBE 1,2013-021C,39161
8427,2013-033B,39198,ROCKET BODY,PEGASUS R/B,US,2013-06-28,WRAS,,97.00,97.92,630,600,,,0,LARGE,9059,2013,33,B,Y,PEGASUS R/B,2013-033B,39198
8428,2013-035A,39202,PAYLOAD,SJ-11-05,PRC,2013-07-15,JSC,,98.37,98.27,687,674,,,0,LARGE,9059,2013,35,A,Y,SJ-11-05,2013-035A,39202
8429,2013-042A,39227,PAYLOAD,KOMPSAT 5,SKOR,2013-08-22,OREN,,95.71,97.62,554,552,,,0,LARGE,9059,2013,42,A,Y,KOMPSAT 5,2013-042A,39227
8430,2013-046C,39241,PAYLOAD,YAOGAN 17C,PRC,2013-09-01,JSC,,107.03,63.39,1377,801,,,0,LARGE,9059,2013,46,C,Y,YAOGAN 17C,2013-046C,39241
8431,2013-048C,39251,PAYLOAD,GONETS M 07,CIS,2013-09-11,PKMTR,,115.86,82.48,1508,1481,,,0,LARGE,9059,2013,48,C,Y,GONETS M 07,2013-048C,39251
8432,2013-048D,39252,ROCKET BODY,BREEZE-KM R/B,CIS,2013-09-11,PKMTR,,112.51,82.48,1512,1171,,,0,LARGE,9059,2013,48,D,Y,BREEZE-KM R/B,2013-048D,39252
8433,1994-029AFA,39315,DEBRIS,PEGASUS DEB,US,1994-05-19,AFWTR,,102.58,81.50,1170,591,,,0,SMALL,9059,1994,29,AFA,Y,PEGASUS DEB,1994-029AFA,39315
8434,1994-029AFD,39318,DEBRIS,PEGASUS DEB,US,1994-05-19,AFWTR,,98.39,81.95,816,548,,,0,SMALL,9059,1994,29,AFD,Y,PEGASUS DEB,1994-029AFD,39318
8435,2013-057A,39358,PAYLOAD,SJ-16,PRC,2013-10-25,JSC,,96.59,74.97,608,583,,,0,LARGE,9059,2013,57,A,Y,SJ-16,2013-057A,39358
8436,2013-065A,39410,PAYLOAD,YAOGAN 19,PRC,2013-11-20,TSC,,109.46,100.06,1209,1194,,,0,LARGE,9059,2013,65,A,Y,YAOGAN 19,2013-065A,39410
8437,2013-066E,39420,PAYLOAD,OPTOS,SPN,2013-11-21,OREN,,97.96,97.75,747,575,,,0,SMALL,9059,2013,66,E,Y,OPTOS,2013-066E,39420
8438,2013-066AB,39441,PAYLOAD,NEE 02 KRYSAOR,ECU,2013-11-21,OREN,,97.07,97.85,668,569,,,0,SMALL,9059,2013,66,AB,Y,NEE 02 KRYSAOR,2013-066AB,39441
8439,2013-066AJ,39448,PAYLOAD,BPA 3/SL-24,UKR,2013-11-21,OREN,,107.21,97.71,1605,591,,,0,LARGE,9059,2013,66,AJ,Y,BPA 3/SL-24,2013-066AJ,39448
8440,2013-068A,39455,PAYLOAD,SHIYAN 5 (SY-5),PRC,2013-11-25,JSC,,99.77,98.14,757,738,,,0,LARGE,9059,2013,68,A,Y,SHIYAN 5 (SY-5),2013-068A,39455
