,organisation_id,organisation_name,date_lower,date_upper,host_country
201,1230,European Organisation for the Exploitation of Meteorological Satellites,1986-06-19,,Unknown
202,4284,CroCube Team,2023-05-01,,Unknown
203,1238,Algerian Space Agency,2002-01-16,,Unknown
204,1239,Boeing Co.,1916-01-01,,Unknown
205,1240,Boeing Houston Product Support Center (HPSC),,,Unknown
206,1241,"Boeing Satellite Development Center, El Segundo",2000-10-01,,Unknown
207,1247,Ball Aerospace,1956-01-01,,Unknown
208,1248,"Tsukuba Space Center (NASDA, JAXA)",1972-01-01,,Unknown
209,1249,Astrium (F) Toulouse,2000-01-01,2014-01-01,Unknown
210,1250,Astro-und-Feinwerktechnik Adlershof GmbH (Astrofein Technik),2006-01-01,,Unknown
211,1251,Avio s.p.A.,2003-01-01,,Unknown
212,1252,Beijing Caton Universal Technology Co. Ltd.,2016-01-01,,China
213,1253,Beijing Aerospace World View Information Technology Ltd,2015-01-01,,Unknown
214,1254,Blue Canyon Technologies,2008-01-01,,Unknown
215,4285,Euro Broadband Infrastructure Sarl,2017-03-01,2021-04-01,Unknown
216,1255,Changsha Research Inst. Space Instrument Tech. Co. Ltd.,2016-01-01,,Unknown
217,1256,PLA Second Artillery Corps,1966-07-01,2016-01-01,Unknown
218,1257,EADS Astrium Satellites/Barajas (CASA Espacio),2004-01-01,2014-01-01,Unknown
219,1258,EADS Bremen,2003-06-16,2014-01-01,Unknown
220,1259,EADS Launch Vehicles,2000-07-10,2014-01-01,Unknown
221,1260,Escola Municipal Presidente Tancredo de Almeida Neves,,,Unknown
222,1261,Guangdong Aerospace Tech Co Ltd.,2015-01-01,,Unknown
223,1262,China State Oceanic Administration,,,Unknown
224,1263,Hamilton Sunstrand (UTC),1999-06-01,2012-07-01,United States
225,1264,United Technologies Corp.,,,Unknown
226,1265,Spaceflight East Is Red Satellite Co,2001-08-01,,Unknown
227,1266,Hindustan Aeronautics Ltd,1940-01-01,,Unknown
228,1267,Sierra Nevada Corp.,2008-01-01,,Unknown
229,1268,Spire/Glasgow,2015-06-01,,Unknown
230,1270,Thales Group,2000-01-01,,Unknown
231,1269,Thales Alenia Space/Cannes (TAS-F),2007-04-10,,Unknown
232,1271,Thales Alenia Space/Torino (TAS-I),2007-04-10,,Unknown
233,1272,"Honeywell Aerospace, Defense and Space Systems",,,Unknown
234,1273,Lockheed Aircraft Corporation,1932-01-01,1995-03-15,United States
235,1274,"Lockheed Martin Missiles and Space, Sunnyvale",1995-03-15,,Unknown
236,1275,Lockheed Martin Space Systems (Sunnyvale),2005-01-01,,Unknown
237,1276,Orbital ATK,2015-02-10,,Unknown
238,1277,Orbital ATK Civil Sats. and Nat. Security Systems,2015-02-10,,Unknown
239,1278,University of Denver,1864-01-01,,Unknown
240,1297,Open Space Network,2015-01-01,,Unknown
241,1298,Office National d'Etudes et de Recherches Aerospatiales,1946-01-01,,Unknown
242,1299,Pumpkin Inc.,2009-01-01,,Unknown
243,1300,RUAG Aerospace Sweden AB,2008-09-01,,Unknown
244,4286,Exobotics UK Ltd,2018-01-01,,United Kingdom
245,1301,Rafael Advanced Defense Systems Ltd.,1965-01-01,,Unknown
246,1302,SS/Loral (MDA),2012-11-01,,Unknown
247,1303,Shaanxi Engineering Laboratory for Microsatellites,2016-01-01,,Unknown
248,1304,Shanghai Institute of Microsystem and Information Technology,1928-01-01,,Unknown
249,1305,Shanghai Institute of Satellite Engineering (509th Ressearch Institute),,,Unknown
250,1306,Shizuoka University,1949-01-01,,Unknown
251,1307,Southwest Research Institute,1947-01-01,,Unknown
252,1308,Southwest Research Institute (Boulder),1994-01-01,,Unknown
253,1309,Spaceflight Industries Inc.,2015-01-01,,Unknown
254,1310,Surrey Satellite Technology US LLC,,,Unknown
255,1311,"Surrey Space Centre, University of Surrey",1985-01-01,,United Kingdom
256,1312,Tomsk Polytechnic University,1896-01-01,,Unknown
257,1323,AT&T/DirecTV,2015-01-01,,Unknown
258,1324,Al-Farabi Kazakh National University,1934-01-01,,Unknown
259,1325,"Astrium (D), Bremen",2000-07-10,2003-06-16,Unknown
260,1326,DirecTV Latin America,2015-01-01,,Unknown
261,1327,"Mohammed bin Rashid Space Centre, EIAST",2015-05-01,,Unknown
262,1328,Netherlands Organisation for Applied Scientific Research,1932-01-01,,Unknown
263,1329,SpacePharma,2012-01-01,,Unknown
264,1330,SpacePharma R&D group,2012-01-01,,Unknown
265,1331,Ben-Gurion University of the Negev,1969-01-01,,Unknown
266,1332,Soviet Armed Forces,1946-01-01,1991-12-25,Unknown
267,1333,CASIC 4th Academy,2002-01-01,,China
268,1334,China Changfeng Mechanics and Electronics Tech Academy,2002-01-01,,Unknown
269,1335,Aerojet Engineering,1947-01-01,2001-01-01,Unknown
270,1336,Aalto University,2010-01-01,,Unknown
271,1337,"California State University, Northridge",1958-01-01,,Unknown
272,1338,CubeSpace,2015-01-01,,Unknown
273,1339,Democritus University of Thrace,1973-06-09,,Unknown
274,1340,École Nationale Supérieure des Mines de Paris (MINES ParisTech),1783-06-09,,Unknown
275,1341,École Polytechnique,1794-06-09,,Unknown
276,1342,HAVELSAN A.Ş,1982-06-09,,Unknown
277,1343,Turkish Air Force Academy,1951-06-01,,Unknown
278,1344,Turkish Air Force,1911-06-06,,Turkey
279,1345,KT Sat,2012-06-06,,Unknown
280,1346,Luleå tekniska universitet,1971-06-06,,Unknown
281,1347,Millenium Space Systems,2001-06-06,,Unknown
282,1348,Millenium Space Systems/El Segundo factory,2014-06-06,,Unknown
283,1349,"Open Cosmos, Ltd.",2015-06-01,,Unknown
284,1350,University of Patras,1968-06-06,,Unknown
285,1351,QBUS Consortium (Stanford/APL/UC Boulder/U MIch/U del Turabo),2014-06-06,,Unknown
286,1352,SCS-Space,,,South Africa
287,1353,Seoul National University,1946-06-06,,Unknown
288,1354,University of Alberta,1908-06-06,,Unknown
289,1504,Paris Observatory,1874-01-01,,Unknown
290,4287,GITAI USA Inc.,2016-07-01,,Unknown
291,1355,"URUGUS S.A., Satellogic S.A., Montevideo satellite factory",2015-06-06,,Unknown
292,1356,Universidad del Turabo,1972-06-06,,Unknown
293,1357,University of Adelaide,1874-06-06,,Unknown
294,1358,University of New South Wales center for Space Eng. Research,2011-06-06,,Unknown
295,1359,University of Sydney,1850-06-06,,Unknown
296,1360,Zavod Tochnoi Elektromekhaniki,2009-06-06,,Unknown
297,1361,All Nations University College,2002-06-06,,Ghana
298,1362,BRAC University,2001-06-06,,Unknown
299,1363,"Boeing Phantom Works, St Louis",1996-06-06,,Unknown
300,1364,"Defense Science and Technology Organization, Weapons Sys Div.",1978-06-06,,Unknown
301,1365,Deployable Space Systems,2008-04-01,,Unknown
302,1366,Satellite Positioning Research and Application Center,2007-06-06,,Unknown
303,1367,Federal University of Technology Akure,1981-06-06,,Unknown
304,3719,Avant Space,2017-01-01,,Unknown
305,1242,General Tire and Rubber Company,1915-01-01,1984-01-01,Unknown
306,3937,AT&T Alascom,1995-01-01,2016-01-01,Unknown
307,1243,Aerojet Rocketdyne/Canoga Park,2013-06-01,,United States
308,1279,"IHI Aerospace, Ogikubo plant",2000-06-01,,Unknown
309,1280,Ishikawajima-Harima Heavy Industries Co. Ltd,1853-12-08,2007-01-01,Unknown
310,1281,ISRO Satellite Center,,,Unknown
311,1282,Arsenal Design Bureau,1965-01-01,2014-03-01,Unknown
312,1283,GS Yuasa Corporation,2004-01-01,,Unknown
313,1284,DSN Corporation,2012-01-01,,Unknown
314,1285,Kayser-Threde GmbH,1967-01-01,,Unknown
315,1286,Loral Corporation,1948-01-01,1996-01-01,Unknown
316,1287,Los Alamos National Laboratory,1980-01-01,,Unknown
317,1288,M42 Technologies,2014-08-01,,Unknown
318,1289,"MacDonald, Dettwiler and Associates",1990-01-01,,Unknown
319,1290,Ministry of Defense of Peru,1987-01-01,,Unknown
320,1291,Mitsubishi Electric Co.,,,Unknown
321,1313,VSSC Liquid Propulsion Systems Center,,,Unknown
322,1314,"Changchun Institute of Optics, Fine Mechanics and Physics",1952-01-01,,Unknown
323,1315,Zhejiang LiTong Electronic Tech Co. Ltd.,2012-01-01,,Unknown
324,1316,China SpaceSat Co.,2006-01-01,,Unknown
325,4288,Hiroo Gakuen Junior and Senior School,2007-04-01,,Unknown
326,4289,Kansai University,1886-11-01,,Unknown
327,1317,CAST International Exchange Center,,,Unknown
328,1318,China Aerospace Science and Industry Corp.,1999-07-01,,Unknown
329,1319,University of Science and Technology of China,1970-01-01,,Unknown
330,1320,CAS Institute of Mechanics,1956-01-01,,Unknown
331,1321,Sanjiang Space Group (CASIC 9th Acad),2011-01-01,,Unknown
332,1322,Nakashimada Engineering Works Ltd.,,,Unknown
333,1368,National University of Mongolia,1942-06-06,,Unknown
334,1369,"Teledyne Brown Engineering, Huntsville",1966-06-06,,Unknown
335,1435,Pennsylvania State University,1855-01-01,,Unknown
336,1436,"University of Maryland, College Park",1856-01-01,,Unknown
337,1437,Voentelekom,2012-01-01,,Unknown
338,1490,IBM,1964-01-01,,Unknown
339,1491,Rockwell/Seal Beach,1996-12-01,,Unknown
340,1552,Société Européenne de Propulsion,1971-01-01,1997-01-01,Unknown
341,1633,Royal Australian Air Force,1921-03-01,,Unknown
342,1636,Space Micro,2002-02-02,,Unknown
343,1639,"US Department of Homeland Security, Science and Technology Directorate",2003-01-01,,Unknown
344,4290,Kyoto University,1897-06-18,,Unknown
345,4291,Lagrapo Co. Ltd.,2022-07-22,,Unknown
346,4292,Laboratoire d'Astronomie Spatiale,1965-01-01,,Unknown
347,4293,Orbits Corp.,2022-01-01,,Unknown
348,4294,Space Cubics,2018-01-01,,Unknown
349,4295,TerraSpace Co. Ltd.,2020-02-04,,Unknown
350,4296,SpaceCoin (Space),2020-09-01,,Unknown
351,4297,Think Orbital,2021-01-01,,Unknown
352,4298,Lasar Team,2023-01-01,,Unknown
353,4299,Xplore Inc,2004-01-01,,Unknown
354,1675,UbiquitiLink Inc.,2017-01-01,2019-10-01,Unknown
355,1733,China Long March Rocket Co. Ltd.,2016-01-01,,Unknown
356,1767,Beijing Normal University,1902-01-01,,Unknown
357,1769,Aerospace System Engineering Shanghai,1984-01-01,,Unknown
358,456,"EADS Astrium Satellites (D), Friedrichshafen",2003-06-16,,Unknown
359,1861,Palapa Satelit Nusantara Sejahtera,2017-05-01,,Unknown
360,1872,Nanjing University,1902-01-01,,Unknown
361,1874,Hong Kong University,1911-03-30,,Unknown
362,1898,AAC Microtec AB,2005-01-01,2018-01-01,Unknown
363,1917,CETG 38th Research Institute,2002-01-01,,Unknown
364,2019,OneTeam,2019-01-01,,Unknown
365,2023,Umbra Labs,2015-01-01,,Unknown
366,2031,Orbit Fab,2018-01-01,,Unknown
367,2032,OQ Technology,2015-01-01,,Unknown
368,2034,Mauritius Research and Innovation Council,2019-09-01,,Unknown
369,2046,C3S LLC,2019-01-01,,Unknown
370,2145,Universidad Interamericana de Puerto Rico - Recinto de Bayamon,1912-01-01,,Unknown
371,2194,Taizhou Xingkong Intelligent Connectivity Tech Co Ltd.,2021-01-01,,Unknown
372,2195,USAF Space and Missile Systems Organization,1967-07-01,1979-10-31,Unknown
373,2249,Norwegian U of Science and Technology,1996-01-01,,Unknown
374,2255,Sen Corporation Ltd.,2007-06-06,,Unknown
375,2257,European University of Madrid,1995-01-01,,Unknown
376,2259,Zonguldak Bulent Ecevit University,1992-01-01,,Unknown
377,2313,Shaanxi Silk Road Tiantu Satellite Technology Co. Ltd.,2019-08-01,,Unknown
378,2315,University of Alabama,1820-12-18,,Unknown
379,2316,Xiamen Tianwei Technology Co. Ltd.,2021-01-01,,Unknown
380,2791,Radiant Solutions (Herndon),2017-10-01,,Unknown
381,2792,"Rocket Lab USA, Long Beach",2021-01-01,,Unknown
382,2793,SES O3B Networks Ltd.,2017-04-01,,Unknown
383,2794,SES S.A.,2006-01-01,,Unknown
384,2795,Samara National Research University,2016-04-01,,Unknown
385,2796,Scanway S.A.,2020-01-01,,Unknown
386,2797,SkyKraft,2021-01-01,,Unknown
387,2798,Space Forge,2018-01-01,,Unknown
388,2799,Sternula A/S,2019-01-01,,Unknown
389,2800,Surya University,2013-01-01,,Unknown
390,2801,Swarm Technologies (SpaceX),2021-08-01,,Unknown
391,2802,Yunyao Aerospace Tech Co. (Tianjin) Ltd.,2019-03-01,,Unknown
392,2803,University of Victoria,1963-01-01,,Unknown
393,2804,Zhongke Xiguang Aerospace Tech Co. Ltd.,2018-01-01,,Unknown
394,2805,Xiyong Microelectronics Park,2008-08-01,,Unknown
395,2806,Strategic Support Troops,2016-01-01,,Unknown
396,2807,Zimbabwe National Geospatial and Space Agency,2018-01-01,,Unknown
397,2808,iSpace Inc.,2010-01-01,,Unknown
398,3144,GUMUSH AeroSpace,2012-01-01,,Unknown
399,3153,"TrustPoint, Inc.",2020-06-15,,Unknown
400,3213,Angkasa-X,2020-01-01,,Unknown
