,OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
25305,1989-025C,COSMOS 2010,19904,CIS,114.83,74.01,1471.0,1424.0,MEDIUM,0,1989-03-24,
25306,1989-025B,COSMOS 2009,19903,CIS,114.66,74.01,1472.0,1407.0,MEDIUM,0,1989-03-24,
25307,1989-025A,COSMOS 2008,19902,CIS,114.48,74.01,1471.0,1392.0,MEDIUM,0,1989-03-24,
25308,1963-014ET,WESTFORD NEEDLES,19891,US,166.11,87.29,3975.0,3288.0,MEDIUM,0,1963-05-09,
25309,1989-021B,TDRS 4,19883,US,1462.21,12.85,36372.0,36220.0,LARGE,0,1989-03-13,
25310,1989-020B,METEOSAT 4 (MOP 1),19876,ESA,1482.88,15.13,36787.0,36608.0,LARGE,0,1989-03-06,
25311,1989-020A,JCSAT 1,19874,JPN,1446.79,14.91,36004.0,35987.0,LARGE,0,1989-03-06,
25312,1985-056P,ARIANE 1 DEB,19857,FR,627.27,6.64,35137.0,653.0,MEDIUM,0,1985-07-02,
25313,1989-001H,SL-12 R/B(AUX MOTOR),19856,CIS,338.51,65.13,18748.0,675.0,MEDIUM,0,1989-01-10,
25314,1981-053MH,COSMOS 1275 DEB,19853,CIS,105.29,82.99,1096.0,919.0,SMALL,0,1981-06-04,
25315,1989-018B,SL-14 R/B,19852,CIS,104.04,82.52,963.0,936.0,LARGE,0,1989-02-28,
25316,1989-018A,METEOR 2-18,19851,CIS,103.9,82.52,952.0,934.0,LARGE,0,1989-02-28,
25317,1972-058JM,DELTA 1 DEB,19834,US,98.51,98.54,779.0,595.0,SMALL,0,1972-07-23,
25318,1989-005C,SL-8 DEB,19831,CIS,98.58,74.07,699.0,683.0,SMALL,0,1989-01-26,
25319,1989-017B,SL-8 R/B,19827,CIS,104.78,82.95,1007.0,961.0,LARGE,0,1989-02-22,
25320,1989-017A,COSMOS 2004,19826,CIS,104.92,82.95,1014.0,968.0,LARGE,0,1989-02-22,
25321,1989-014D,SL-6 R/B(2),19810,CIS,694.32,64.04,37660.0,1531.0,LARGE,0,1989-02-15,
25322,1989-014A,MOLNIYA 1-75,19807,CIS,718.46,63.8,37806.0,2582.0,LARGE,0,1989-02-15,
25323,1989-013A,NAVSTAR 13 (USA 35),19802,US,777.01,54.74,21739.0,21499.0,LARGE,0,1989-02-14,
25324,1989-011D,SL-6 R/B(2),19799,CIS,705.28,63.67,38117.0,1619.0,LARGE,0,1989-02-14,
25325,1989-009G,SL-14 R/B,19791,CIS,114.75,82.61,1470.0,1418.0,LARGE,0,1989-02-10,
