international_designator,norad_catalog_number,satellite_name,source,launch_date,launch_site,object_type,last_data
1983-078B,14238.0,TITAN 34B AGENA D R/B,US,1983-07-31,AFWTR,R/B,2023-03-21T07:12:00.000000
1981-108F,14735.0,COSMOS 1317 DEB,CIS,1981-10-31,PLMSC,DEB,2024-10-24T05:52:18.293088
1984-089A,15214.0,MOLNIYA 1-62,CIS,1984-08-24,PLMSC,PAY-,2023-08-30T09:15:43.608960
1984-089D,15223.0,SL-6 R/B(2),CIS,1984-08-24,PLMSC,R/B,2024-05-10T00:08:09.447360
1984-091B,15227.0,TITAN 34B R/B,US,1984-08-28,AFWTR,R/B,2024-10-24T04:44:13.193952
1968-091CX,15534.0,COSMOS 249 DEB,CIS,1968-10-20,TYMSC,DEB,2004-04-21T04:15:19.531296
1985-035D,15680.0,ARIANE 3 DEB [SYLDA],FR,1985-05-08,FRGUI,DEB,2025-01-23T11:07:01.224768
1981-053KG,17026.0,COSMOS 1275 DEB,CIS,1981-06-04,PLMSC,DEB,2017-11-10T14:57:00.531648
1986-089A,17078.0,MOLNIYA 1-69,CIS,1986-11-15,PLMSC,PAY-,2024-07-17T03:14:37.742784
1986-026E,17253.0,ARIANE 3 DEB,FR,1986-03-28,FRGUI,DEB,2022-12-03T14:38:43.034784
1987-015A,17506.0,USA 21,US,1987-02-12,AFWTR,PAY-,2024-07-12T14:08:32.712000
1981-088N,18598.0,SL-6 DEB,CIS,1981-09-11,PLMSC,DEB,2021-10-07T02:11:46.389696
1963-014DK,18615.0,WESTFORD NEEDLES,US,1963-05-09,AFWTR,DEB,2025-02-09T07:37:12.159840
1973-086GY,18647.0,DELTA 1 DEB,US,1973-11-06,AFWTR,DEB,2024-04-07T09:41:56.266944
1988-013A,18881.0,COSMOS 1922,CIS,1988-02-26,PLMSC,PAY-,2025-01-29T12:31:41.428128
1963-014DY,19030.0,WESTFORD NEEDLES,US,1963-05-09,AFWTR,DEB,2024-07-26T15:38:59.837280
1981-070L,19478.0,DELTA 1 DEB,US,1981-08-03,AFWTR,DEB,2024-04-10T03:32:21.109920
1965-108AB,19595.0,TITAN 3C TRANSTAGE DEB,US,1965-12-21,AFETR,DEB,2024-12-13T09:28:00.422112
1985-056Q,19951.0,ARIANE 1 DEB,FR,1985-07-02,FRGUI,DEB,2024-12-03T15:59:55.407264
1976-067BU,20030.0,COSMOS 839 DEB,CIS,1976-07-08,PLMSC,DEB,2022-12-22T04:54:13.705056
1965-108AC,20102.0,TITAN 3C TRANSTAGE DEB,US,1965-12-21,AFETR,DEB,2022-08-01T11:11:51.927072
1963-030H,20153.0,DASH 2 DEB,US,1963-07-19,AFWTR,DEB,2013-10-05T18:48:36.414720
1976-077FQ,20309.0,DELTA 1 DEB,US,1976-07-29,AFWTR,DEB,2024-03-24T16:28:21.245664
1983-070F,20412.0,COSMOS 1481 DEB,CIS,1983-07-08,PLMSC,DEB,2021-07-01T02:30:02.008224
1965-108AE,20760.0,TITAN 3C TRANSTAGE DEB,US,1965-12-21,AFETR,DEB,2024-10-31T04:36:08.887392
1975-052EW,21462.0,DELTA 1 DEB,US,1975-06-12,AFWTR,DEB,2015-11-04T22:15:07.596000
1990-065F,21590.0,CRRES DEB [CANISTER],US,1990-07-25,AFETR,DEB,2025-02-02T16:54:41.165568
1990-065H,21592.0,CRRES DEB [CANISTER],US,1990-07-25,AFETR,DEB,2024-10-10T02:56:37.550112
1987-036L,21623.0,SL-12 DEB,CIS,1987-04-24,TYMSC,DEB,2021-10-20T23:14:02.250240
1990-065L,21634.0,CRRES DEB [CANISTER],US,1990-07-25,AFETR,DEB,2022-11-04T18:41:13.445376
1990-065N,21636.0,CRRES DEB [CANISTER],US,1990-07-25,AFETR,DEB,2024-11-18T21:47:11.530176
1992-044C,22051.0,DELTA 2 R/B(2),US,1992-07-24,AFETR,R/B,1992-07-24T14:44:47.999616
1994-034C,23126.0,STRV 1B,UK,1994-06-17,FRGUI,PAY-,2024-05-08T01:52:34.081536
1991-009CV,23264.0,SL-8 DEB,CIS,1991-02-12,PLMSC,DEB,2020-08-26T14:34:08.908320
1985-118Q,23293.0,SL-12 DEB,CIS,1985-12-24,TYMSC,DEB,2021-04-18T12:04:32.695680
1985-118U,23297.0,SL-12 DEB,CIS,1985-12-24,TYMSC,DEB,2022-08-02T07:58:52.955904
1989-061AC,23356.0,USA 40 R/B DEB,US,1989-08-08,AFETR,DEB,2024-12-17T11:35:21.125760
1989-061AE,23358.0,USA 40 R/B DEB,US,1989-08-08,AFETR,DEB,2024-04-08T14:42:18.430848
1989-061AM,23365.0,USA 40 R/B DEB,US,1989-08-08,AFETR,DEB,2023-02-13T10:25:06.592512
1989-061AP,23367.0,USA 40 R/B DEB,US,1989-08-08,AFETR,DEB,2021-12-16T18:01:51.424896
1989-061AS,23370.0,USA 40 R/B DEB,US,1989-08-08,AFETR,DEB,2024-11-12T03:25:31.336320
1989-061AT,23371.0,USA 40 R/B DEB,US,1989-08-08,AFETR,DEB,2019-02-25T20:11:45.462624
1989-061AV,23373.0,USA 40 R/B DEB,US,1989-08-08,AFETR,DEB,2024-12-21T03:06:09.706464
1989-061AW,23374.0,USA 40 R/B DEB,US,1989-08-08,AFETR,DEB,2021-09-26T07:26:48.738912
1989-061AY,23376.0,USA 40 R/B DEB,US,1989-08-08,AFETR,DEB,2022-02-11T03:18:14.465952
1989-061AZ,23377.0,USA 40 R/B DEB,US,1989-08-08,AFETR,DEB,2023-12-23T10:45:37.318176
1989-061BA,23378.0,USA 40 R/B DEB,US,1989-08-08,AFETR,DEB,2024-07-13T21:00:14.069376
1989-061BB,23379.0,USA 40 R/B DEB,US,1989-08-08,AFETR,DEB,2024-12-07T10:55:36.619680
1989-061BC,23380.0,USA 40 R/B DEB,US,1989-08-08,AFETR,DEB,2024-08-02T22:11:02.301216
1989-061BD,23381.0,USA 40 R/B DEB,US,1989-08-08,AFETR,DEB,2024-09-20T04:23:58.569792
1989-061BP,23391.0,USA 40 R/B DEB,US,1989-08-08,AFETR,DEB,2023-02-27T01:35:54.004128
1989-061BQ,23392.0,USA 40 R/B DEB,US,1989-08-08,AFETR,DEB,2024-08-14T04:32:29.205888
1989-061BT,23395.0,USA 40 R/B DEB,US,1989-08-08,AFETR,DEB,2024-09-21T08:52:34.115520
1988-077N,23619.0,TITAN 34D TRANSTAGE DEB,US,1988-09-02,AFETR,DEB,2024-05-08T21:28:04.148544
1995-039F,23646.0,MAGION 4,CZCH,1995-08-02,PLMSC,PAY-,1997-04-09T00:00:00.000000
1981-038D,23806.0,TITAN 34B DEB,US,1981-04-24,AFWTR,DEB,2022-08-16T21:01:52.470336
1966-077D,23820.0,OPS 0856 DEB,US,1966-08-19,AFWTR,DEB,2025-01-18T20:26:34.630080
1966-077E,23821.0,OPS 0856 DEB,US,1966-08-19,AFWTR,DEB,2013-11-02T21:56:07.601568
1966-077F,23829.0,OPS 0856 DEB,US,1966-08-19,AFWTR,DEB,2022-05-12T04:51:11.248992
1966-077G,23830.0,OPS 0856 DEB,US,1966-08-19,AFWTR,DEB,2016-05-06T21:07:11.033184
1966-077H,23832.0,OPS 0856 DEB,US,1966-08-19,AFWTR,DEB,2021-09-12T19:57:40.906944
1966-077J,23837.0,OPS 0856 DEB,US,1966-08-19,AFWTR,DEB,2013-09-07T13:29:47.379552
1966-077K,23838.0,OPS 0856 DEB,US,1966-08-19,AFWTR,DEB,2009-06-14T12:44:44.988000
1966-077L,23841.0,OPS 0856 DEB,US,1966-08-19,AFWTR,DEB,2025-02-09T14:34:14.304864
1961-028G,23933.0,MIDAS 4 DEB,US,1961-10-21,AFWTR,DEB,2016-12-25T13:18:02.434176
1966-077M,23952.0,OPS 0856 DEB,US,1966-08-19,AFWTR,DEB,2021-10-17T18:45:36.080640
1996-044C,24210.0,ARIANE 44L+3 R/B,FR,1996-08-08,FRGUI,R/B,1996-08-10T22:30:19.122048
1966-077N,24312.0,OPS 0856 DEB,US,1966-08-19,AFWTR,DEB,2012-12-02T23:47:44.823264
1966-077P,24647.0,OPS 0856 DEB,US,1966-08-19,AFWTR,DEB,2024-05-24T21:15:17.400384
1994-085Z,24703.0,SL-19 DEB,CIS,1994-12-26,TYMSC,DEB,2024-03-15T06:57:35.975808
1997-027C,24821.0,ARIANE 44L R/B,FR,1997-06-03,FRGUI,R/B,1997-11-20T01:16:30.202176
1997-029B,24835.0,CZ-3A R/B,PRC,1997-06-10,XICLF,R/B,1997-06-10T17:41:44.990592
1997-049C,24933.0,ARIANE 44LP R/B,FR,1997-09-02,FRGUI,R/B,1997-09-06T15:53:46.639968
1966-077S,25097.0,OPS 0856 DEB,US,1966-08-19,AFWTR,DEB,2020-09-22T19:58:16.860576
1967-065D,25101.0,THOR BURNER 2 DEB,US,1967-06-29,AFWTR,DEB,2013-12-17T05:24:44.718048
1967-065E,25122.0,THOR BURNER 2 DEB,US,1967-06-29,AFWTR,DEB,2013-12-15T16:54:10.432224
1998-041C,25388.0,M-V R/B(2),JPN,1998-07-03,KSCUT,R/B,1998-07-22T13:07:13.998720
1979-104H,25766.0,ARIANE 1 DEB,FR,1979-12-24,FRGUI,DEB,2024-09-07T11:45:00.060192
1989-001K,25798.0,SL-12 DEB,CIS,1989-01-10,TYMSC,DEB,2023-12-27T01:33:50.835744
1990-110J,25800.0,SL-12 DEB,CIS,1990-12-08,TYMSC,DEB,2012-07-18T09:26:10.071168
1987-079N,25803.0,SL-12 DEB,CIS,1987-09-16,TYMSC,DEB,2016-04-15T11:06:58.122144
1987-079R,25806.0,SL-12 DEB,CIS,1987-09-16,TYMSC,DEB,2011-10-31T20:50:46.423968
1987-079S,25807.0,SL-12 DEB,CIS,1987-09-16,TYMSC,DEB,2025-01-31T17:01:29.911872
1987-079T,25808.0,SL-12 DEB,CIS,1987-09-16,TYMSC,DEB,2024-09-11T09:00:16.155936
1984-023C,25821.0,ARIANE 1 DEB,FR,1984-03-05,FRGUI,DEB,2014-02-01T11:00:59.830848
1966-077T,25826.0,OPS 0856 DEB,US,1966-08-19,AFWTR,DEB,2022-06-19T22:35:56.910624
1966-077U,25827.0,OPS 0856 DEB,US,1966-08-19,AFWTR,DEB,2013-09-27T15:41:12.085440
1966-077V,25828.0,OPS 0856 DEB,US,1966-08-19,AFWTR,DEB,2011-08-09T16:21:30.265920
1966-077W,25829.0,OPS 0856 DEB,US,1966-08-19,AFWTR,DEB,2006-11-07T02:21:22.260384
