International Designator,NORAD Catalog Number,Satellite Name,Source,Launch Date,Launch Site,Object Type,Last Data
1999-025DKY,35120,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2024-04-29T18:12:48.200544
1999-025DLG,35128,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2024-09-13T22:19:23.638080
1999-025DLH,35129,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2021-10-29T08:00:55.401984
1999-025DLQ,35136,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2022-09-23T00:50:31.290432
1999-025DLV,35141,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2024-08-01T02:45:31.180608
1999-025DMC,35148,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2023-12-02T10:35:47.945760
1999-025DME,35150,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2014-12-07T14:38:20.449824
1999-025DMS,35162,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2022-05-25T23:15:05.149440
1999-025DMU,35164,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2024-05-08T08:35:54.203136
1999-025DNA,35170,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2022-09-22T04:06:20.544768
1999-025DNC,35172,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2011-10-06T03:27:19.522080
1999-025DNH,35177,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2022-09-03T00:17:30.153984
1999-025DNL,35180,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2024-04-27T03:11:44.449440
1999-025DNS,35186,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2022-10-01T13:23:21.883488
1999-025DNT,35187,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2010-08-05T14:35:47.851008
1999-025DNV,35189,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2024-04-22T22:15:37.474848
1999-025DNW,35190,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2022-09-12T23:40:06.914496
